c5,remark,,,,,,,,
R44 AIR TRAFFIC CONTROL RECORDINGS SHOW THE PILOT STATED THAT HE HAD A SITUATION WITH THE WEATHER AND LOST CONTROL OF THE AIRCRAFT AND PULLED THE CHUTE. ,,,,,,,,,
,,,,,,,,,
REFERENCE ACCIDENT PTRS: EA68201903654,,,,,,,,,
FOLLOW UP PTRS:  EA68201903889,,,,,,,,,
,,,,,,,,,
PILOT HAS BEEN ADVISED BY HIS ATTORNEY NOT TO GIVE A STATEMENT OR SPEAK TO THE FAA AT THIS TIME.  AS A RESULT SOME INFORMATION WAS NOT OBTAINED.,,,,,,,,,
20190822018029I,"AIRCRAFT EXPERIENCED ENGINE POWER LOSS, AND DUE TO LACK OF RUNWAY AVAIALBILITY, LANDED ON TAXI WAY.  NO DAMAGE OR INJURIES RESULTED.",,,,,,,,
20190822022999A,"PILOT LANDED ON DRY LAKE BED WITH FINE, SANDY SURFACE. ON ROLLOUT, AIRCRAFT HIT SMALL BUMP OR RUT, FORCING MAIN GEAR INTO THE AIR. TAIL THEN HIT BUMP, PUSHING NOSE DOWN, AND AIRCRAFT FLIPPED OVER.",,,,,,,,
20190823012009A,"ON AUGUST 23, 2019, ABOUT APPROXIMATELY 2015 CENTRAL DAYLIGHT TIME, N881MM, AN EXPERIMENTAL MEYERS MIDGET 0100",,,,,,,,
"AIRPLANE IMPACTED TERRAIN ABOUT FIVE MILES SOUTHWEST OF BIG SPRING MCMAHON- WRINKLE AIRPORT (BPG), BIG SPRING, TEXAS.  OPERATED BY THE PILOT AS A PART 91 PERSONAL FLIGHT.  VISUAL METEOROLOGICAL CONDITIONS PREVAILED.",,,,,,,,,
,,,,,,,,,
"A WITNESS FLYING IN ANOTHER AIRPLANE ALONG WITH THE ACCIDENT PILOT, REPORTED THAT THE PURPOSE OF THEIR FLIGHT WAS FOR THE TWO OF THEM TO FLY IN CLOSE PROXIMITY TO ONE ANOTHER.  THEY BOTH ",,,,,,,,,
TOOK OFF FROM BPG AND CONDUCTED SEVERAL OVALS ABOVE THE AIRPORT PROPERTY.  THEY CLIMBED TO ABOUT ,,,,,,,,,
"4,000 FT ABOVE GROUND LEVEL AND DEPARTED THE VICINITY OF THE AIRPORT. THE WITNESS REPORTED THAT THE ",,,,,,,,,
ACCIDENT PILOT DECIDED TO CONDUCT A ROLL IN HIS AIRPLANE.  THE ACCIDENT PILOT STARTED A STEEP DESCENT AND THE WITNESS HAD TO TURN HIS AIRPLANE AWAY TO KEEP THE ACCIDENT AIRPLANE IN SIGHT.  WHEN ,,,,,,,,,
"HE LOOKED BACK, THE ACCIDENT AIRPLANE WAS INVERTED, AND IT STARTED TO DESCEND IN A SPIRAL.  HE ATTEMPTED TO REACH THE PILOT VIA THE RADIO, TELLING HIM HOW TO EXIT THE SPIRAL, BUT TO NO AVAIL.  THE ACCIDENT AIRPLANE CONTINUED TO SPIRAL UNTIL ABOUT 500 FEET ABOVE THE GROUND WHEN THE AIRPLANE WAS UPRIGHT, AND IN A SLIGHT RIGHT BANK. THE WITNESS TURNED HIS AIRPLANE AGAIN, AND WHEN HE LOOKED BACK, HE OBSERVED A CLOUD OF DUST ON THE GROUND, AND THE ACCIDENT AIRPLANE ON ITS BELLY.",,,,,,,,,
20190823012011I,"DURING TAXI OUT FROM PARKING SPOT AT GATE 33, THE AIRCRAFT TAXIED BETWEEN PARKED FUEL TRUCK ON THE RIGHT AND A PARKED AIRCRAFT ON THE LEFT. N409BK WAS PARKED ABOUT 12 INCHES AHEAD OF MARKED PARKING SPOT. THERE WERE NO MARSHALERS IN SIGHT ON THE LEFT OR FRONT,AND NONE ON THE RIGHT. THE WINGTIP OF N290CA STRUCK THE NOSE CONE OF N409BK AT SLOW SPEED, CAUSING DAMAGE. PASSENGERS WERE REMOVED FROM THE AIRCRAFT, REPORTING NO INJURIES.",,,,,,,,
20190823012039A,AIRCRAFT LANDED GEAR UP IN THE NORTH  BOUND LANES OF FEDERAL HIGHWAY AND CAME TO REST POINTING SOUTH EAST. EXAMINATION OF THE ROAD WAY REVEALED GROUND SCARES ON THE SOUTH BOUND LANES PROGRESSING THROUGH THE GRASS CENTER MEDIAN AND CONTINUING ACROSS THE NORTH BOUND LANE IN A SOUTHEAST DIRECTION AND ENDING AT THE LOCATION WERE THE AIRCRAFT CAME TO REST. DEBRIS FOUND ON THE GRASS MEDIAN INCLUDED A NOSE GEAR DOOR AND A WASTE TUBE. THERE WERE THREE SOULS ON BOARD AND THERE WERE NO INJURIES. ,,,,,,,,
,,,,,,,,,
PILOT STATED HE HAD TWO PASSENGERS ON BOARD FOR A SIGHTSEEING TOUR. HE DEPARTED WITHAM FIELD AIRPORT (KSUA) SOUTH ALONG THE BEACH AT 900 AGL. HE TURNED NORTH AT 1200 AGL. AND AT THAT POINT HE LOST OIL PRESSURE AND THE ENGINE QUIT. HE TURNED RIGHT AND WAS ABLE TO GO UNDER THE POWER LINES THAT RUN PARALLEL TO FEDERAL HIGHWAY GOING EAST. HE MADE A PARTIAL RIGHT TURN BEFORE HE CONTACTED THE ROADWAY.  HE STATED THAT INTENTIONALLY LANDED GEAR UP TO REDUCE THE LANDING DISTANCE AND HE PARTIALLY PUT THE GEAR IN THE DOWN POSITION IN AN ATTEMPT TO STOP THE AIRCRAFT AND AVOID GOING INTO THE WOODS ON THE EAST SIDE OF THE ROADWAY.  ,,,,,,,,,
,,,,,,,,,
PRELIMINARY EXAMINATION OF THE ENGINE BY REPRESENTATIVE FOR CONTINENTAL MOTORS REVEALED A FRACTURE OF THE CRANKSHAFT. ,,,,,,,,,
,,,,,,,,,
SDR  SUBMITTED #2019FA0000314,,,,,,,,,
20190823014809A,"ON AUGUST 23, 2019, AT 1100 EST, A BEECH CRAFT BE35, N9422S, WAS HIT BY A TURKEY VULTURE ON THE PILOT'S UPPER ENGINE COWLING WHILE ON APPROACH TO FORT MYERS AIRPORT.  VISUAL METEOROLOGICAL CONDITIONS PREVAILED AT THE TIME AND A VFR FLIGHT PLAN WAS NOT FILED.  THE AIRCRAFT WAS SUBSTANIALLY DAMAGED AND THE CERTIFICATED PILOT AND PASSENGER WERE NOT INJURED.",,,,,,,,
20190823016069A,"IAW THE NARRATIVE PROVIDED BY THE SON OF THE PILOT, HE STATED HE AND HIS FATHER PUT THE AIRPLANE TOGETHER AND WORKED AND FLEW WITH HIS FATHER OFTEN. HE STATED HE AND HIS FATHER INSTALLED AN AFTER-MARKET SUPERCHARGER ON THE AIRPLANE SEVERAL MONTHS BACK AND THE AIRPLANE HAS BEEN FLYING VERY GOOD SINCE THEN. ^PRIVACY DATA OMITTED^ STATED ABOUT TWO DAYS BEFORE THE ACCIDENT, HIS FATHER STATED THAT THE AIRPLANE HAS BEEN EXPERIENCING HIGHER THAN NORMAL FUEL CONSUMPTION GOING FROM THE NORMAL 4 GALLONS AN HOUR TO ABOUT 6 GALLONS AN HOUR. THE DAY BEFORE THE ACCIDENT FLIGHT, ^PRIVACY DATA OMITTED^ STATED THAT HE AND HIS FATHER REPLACED THE JETS IN THE CARBURETOR TO SMALLER JETS TO TRY AND IMPROVE THE FUEL CONSUMPTION. AFTER THEY REPLACED THE JETS, THEY STARTED THE ENGINE AND IT WAS RUNNING VERY ROUGH, COUGHING AND MISSING. THE DAY OF THE ACCIDENT HIS FATHER TOLD HIM HE FIXED THE AIRPLANE BY ADJUSTING THE TABS ON THE FLOAT BRACKET AND ALLOWING MORE FUEL TO ENTER THE CARBURETOR BOWL. THEY PERFORMED A RUN-UP OF THE ENGINE AND IT RAN NORMAL. ^PRIVACY DATA OMITTED^ SAID THE PLAN WAS FOR HIS FATHER TO FLY TO DELAND AIRPORT AND HE WOULD DRIVE THE TRUCK AND TRAILER THERE TO MEET HIM. ^PRIVACY DATA OMITTED^ WATCHED AS HIS FATHER STARTED HIS TAKEOFF ROLL ON RUNWAY 36. HE STATED THE TAKEOFF LOOKED NORMAL BUT NOTICED THE AIRPLANE WAS NOT CLIMBING LIKE IT HAS IN THE PAST. WHEN THE AIRPLANE REACHED ABOUT 300 FEET AGL, THE ENGINE STARTED TO SPUTTER AGAIN AND RUN ROUGH. HE STATED IT LOOKED LIKE HIS FATHER TRIED TO TURN BACK TO THE RUNWAY AND MADE A SHARP LEFT TURN. SHORTLY AFTER THE LEFT TURN, HE SAW THE AIRPLANE GO STRAIGHT DOWN TO THE GROUND.",,,,,,,,
20190823017869A,"ON AUGUST 23, 2019, N7172D, 2011 ARBC INC DBA LINDSTRAND, DEPARTED FROM A SELECTED LAUNCH SITE 4 MILES SE OF THE APACHE CASINO HOTEL IN LAWTON, OK. THE SIGHTSEEING FLIGHT WAS DESTINED FOR THE APACHE CASINO HOTEL.  WEATHER AT THE TIME WAS CLEAR AND VISIBILITY UNRESTRICTED, VISUAL FLIGHT RULES (VFR) CONDITIONS PREVAILED WITH WIND SPEEDS AROUND 6-7 KNOTS LOCATED FROM THE EAST SOUTH EAST",,,,,,,,
,,,,,,,,,
AT APPROXIMATELY 8:00 AM THE PILOT IN COMMAND APPROACHED HIS INTENDED LANDING SITE. HE CONTINUED ON TO THE ALTERNATE LANDING SITE.  DURING THE LANDING A PASSENGER HAD FELL TO THE BOTTOM OF THE BASKET WHERE SHE WAS INJURIED.  PARAMEDICS EVALUATED THE PASSENGERS AND TRANSPORTED THE INJURIED PASSENGER FOR MEDICAL CARE.,,,,,,,,,
20190824011939I,"THE PILOT OF AMATEUR BUILT AIRCRAFT CONTACTED ATC AND HEADED BACK TO CNO AFTER NOTICING FLICKER ON PANEL. AIRCRAFT LOST POWER AND COMMS AFTER. PILOT USED EMERGENCY GEAR EXTENSION BUT WAS AN ABLE TO DETERMINE IF NOSE GEAR WAS LOCKED IN DOWN POSITION DUE TO POWER LOSS OF DISPLAY. UPON LANDING, NOSE GEAR COLLAPSED.",,,,,,,,
20190824011959I,"N9590M, WAS ISSUED A LONG STRAIGHT IN FINAL OUTSIDE OF 5 MILES FOR KFCM RUNWAY 10L .  THE GEAR WAS INTENTIONALLY HELD UP BECAUSE OF THE LONG VECTORED FINAL, WITH THE INTENTION TO PERFORM LANDING CHECKS IN CLOSER PROXIMITY TO THE AIRPORT.  THE AIRCRAFT PICKED UP THE GLIDESLOPE AND CONTINUED IN FOR LANDING TOUCHING DOWN APPROXIMATELY 1000 FEET DOWN THE RUNWAY.  AT THAT POINT THE AIRCRAFT SLID DOWN THE RUNWAY JUST OVER THREE HUNDRED FEET AND CAME TO REST NEAR THE LEFT SIDE OF THE RUNWAY.  THE PIC AND HIS WIFE BOTH UNSTRAPPED AND WERE STANDING OUTSIDE THE AIRPLANE WHEN AIRFIELD MAINTENANCE ARRIVED.  NO INJURIES TO EITHER SOULS ON BOARD AND MINOR DAMAGE INCLUDING SCRAPES OF; BELLY SKIN, UNDERSIDE ANTENNA AND NOSE GEAR DOORS.",,,,,,,,
20190824011979I,ATTEMPTING A WATER LANDING ON LAKE ANNA WHEN THE PONTOON TOUCHED DOWN AND THE AIRCRAFT BECAME AIRBORNE AGAIN. AIRCRAFT HAD TOO MUCH SPEED AND COLLIDED WITH A WOODEN BERM ON SHORE,,,,,,,,
20190824011999A,GLIDER ON APPROACH TO LANDING OVERSHOT GRASS RUNWAY FIFTY FEET INTO TREE LINE AT END OF RUNWAY DESTROYING AIRCRAFT. PILOT SUSTAINED SERIOUS INJURIES AND THE PASSENGER RECEIVED ONLY MINOR INJURIES.,,,,,,,,
20190824014799I,"AS STATED BY THE PILOT, THE AIRCRAFT WAS STARTED AND WARMED UP BEFORE TAKE OFF.  THE MAGNETO AND CARB HEAT CHECKS WERE NORMAL, BOOST PUMPS WERE ON. SET FOR TAKE OFF  ON THE RUNWAY THE PILOT APPLIED FULL POWER AND STARTED TO TAKE OFF.  ALL INDICATIONS WERE NORMAL AND NOTHING SOUNDED ABNORMAL. SHORTLY AFTER TAKEOFF THE ENGINE QUIT.  PILOT DETERMINED THE AIRPORT WAS NOT CLOSE ENOUGH TO LAND AT.  THE PILOT CHOOSE THE CLOSEST EMPTY ROAD, BUT DID NOT THINK HE HAD TIME FOR A FULL GEAR EXTENSION AND CHOSE TO LEAVE THE GEAR UP.",,,,,,,,
20190824017879I,N915TD WAS LANDING AT SHOW LOW REGIONAL AIRPORT ON RUNWAY 25 RIGHT AND AFTER TOUCH DOWN WHEN THE NOSE GEAR MADE CONTACT WITH THE RUNWAY THE NOSE GEAR BROKE IN TWO. THE AIRCRAFT SLID DOWN THE RUNWAY ON THE PROP FOR APPROXIMATELY 640 FEET.,,,,,,,,
20190824017889I,"AIRCRAFT GROUND LOOPED ON LANDING ROLLOUT.  ON AUGUST 24, 2019 AT APPROXIMATELY 10:15 AM ^PRIVACY DATA OMITTED^(PILOT) WAS ON A ROUTINE AIR TOUR FLIGHT FOR THE LONE STAR FLIGHT MUSEUM IN ELLINGTON FIELD (EFD) WITH ONE PASSENGER. THE PILOT REPORTED RIGHT BASE TO RUNWAY 17R AND WAS CLEARED TO LAND ON RUNWAY 17R WITH THE WIND HEADING OF 010 AT 4 KNOTS. THE PILOT VERIFIED GEAR DOWN AND SELECTED LANDING FLAPS AT 30 DEGREES. THE AIRPLANE CROSSED THE THRESHOLD AT 95 MPH AND THE PILOT DID NOT NOTICED A CROSSWIND DRIFT. THE PILOT TOUCHED DOWN IN A 3 POINT ATTITUDE AND ROLLED OUT STRAIGHT. WHEN AIRPLANE WAS DECELERATING THROUGH 40 TO 30 MPH THE NOSE BEGAN TO SWING TO THE LEFT. THE PILOT APPLIED ALMOST FULL RUDDER TO STOP THE SWING THEN WENT NEUTRAL ON THE RUDDER. THE NOSE CONTINUED TO SWING LEFT, APPROXIMATELY 30 DEGREES OFF CENTERLINE, AND AGAIN THE RUDDER WAS APPLIED TO THE STOP. THE NOSE BEGAN TO REVERSE TO THE RIGHT SO THE RUDDER WAS NEUTRALIZED. THE NOSE SWUNG RAPIDLY TO THE RIGHT, FULL LEFT RUDDER WAS APPLIED WITH LIGHT LEFT BRAKE. HE WAS UNABLE TO STOP THE SWING AND THE AIRCRAFT GROUND LOOPED TO THE RIGHT DRAGGING THE LEFT WING TIP. THE AIRPLANE CAME TO A STOP AND HE UNLOCKED THE TAIL WHEEL AND TAXIED DOWN THE RUNWAY TO THEIR HANGAR. PILOT AND PASSENGER WERE NOT INJURED. AIRPLANE SUSTAINED MINOR DAMAGE TO THE LEFT WING TIP, BROKE OUTER HINGE BRACKET TO LEFT AILERON AND LEFT AILERON FABRIC WAS DAMAGED. ",,,,,,,,
,,,,,,,,,
I AM CONSIDERING THIS AN INCIDENT DUE TO THE MINOR DAMAGE TO THE WING TIP AND NO MAJOR STRUCTURAL DAMAGE.    ,,,,,,,,,
,,,,,,,,,
I AM RECOMMENDING COUNSELING FROM OPS INSPECTOR.,,,,,,,,,
20190824017899I,AIRCRAFT DEPARTED WARNER ROBINS AIRPARK (5A2) AT APPROXIMATELY 12:40 ON 08/24/2019 AND CLIMBED TO 1050 FEET. THE PILOT STATES THAT HE AND HIS PASSENGER WERE FLYING FOR FUN  AND WAS HEADED TOWARDS THE INTERSTATE I-75 SOUTH BUT THEN DECIDED TO GO BACK TOWARDS PERRY TO VIEW SOME PROPERTY. THE PILOT STATES THAT HALFWAY BETWEEN THE INTERSTATE AND THE LOCAL HIGH SCHOOL HIS ENGINE STARTED SURGING. HE STATES THAT THE ENGINE FELT LIKE IT WOULD GO FROM IDLE TO FULL THROTTLE ABOUT EVERY TWO SECONDS AND THAT HE WAS UNABLE TO MAINTAIN  ALTITUDE. HE ALSO STATES THAT HE WAS LOSING 500 FEET PER MINUTE AND IT WAS AT THAT TIME HE MADE A DECISION TO LAND ON I-75N ON EXIT 138. PILOT HAD NOTICED NO TRAFFIC ON THE EXIT DIPPED UNDER THE POWER LINES AND TOUCHED DOWN TAKING OUT TWO SIGNS WITH HIS LEFT WING. THERE WERE NO INJURIES TO THE PILOT OR PASSENGER AND THE LEFT WING LEADING EDGE TUBE WAS BROKEN.,,,,,,,,
20190824023059I,"ON 08/24/2019 AIRCRAFT N3628H, A 1978 MOONEY M20C WAS CLEARED TO LAND BY TYLER-TYR AIRPORT ATCT ON RWY 22. DURING THE LANDING-TOUCH DOWN PHASE OF FLIGHT, THE AIRCRAFT'S EXTENDED LANDING GEAR COLLAPSED. THE AIRCRAFT CAME TO A STOP CENTERLINE OF RWY 22. ^PRIVACY DATA OMITTED^ WAS PILOTING THE AIRCRAFT WITH ONE PASSENGER, ^PRIVACY DATA OMITTED^. EACH PERSON ON-BOARD REPORTED NO INJURIES. TYR ATC CONTROLLERS EACH STATED N3628H WAS ON SHORT FINAL TO RWY 22. CLEARED TO LAND AND GEAR APPEARED DOWN. UPON LANDING, BOTH CONTROLLERS OBSERVED THE AIRCRAFT TOUCH DOWN ON RWY 22 AND LANDING GEAR COLLAPSE. BEFORE SLIDING APPROXIMATELY 700 FEET AND COMING TO A FULL STOP. ON 08/27/2019, NTX FSDO INTERVIEWED PILOT ^PRIVACY DATA OMITTED^ WHO STATED ""WHILE IN THE PATTERN, CLEARED FOR LANDING I DROPPED THE GEAR AND IMMEDIATELY ADDED APPROACH FLAPS (ELECTRIC) WHICH IS AN APPROXIMATELY A 3 SECOND COUNT IN MY AIRPLANE.  I NOTED THE GREEN GEAR LIGHT WAS ALREADY GREEN WHICH IS USUAL FOR MY PLANE.  DROPPING THE GEAR AND FLAPS STARTS MY PLANE IN ABOUT 500 FEET PER MINUTE DECENT.  I THEN TURNED TO FINAL, ADDED ALL REMAINING FLAPS AND SLOWED TO AS CLOSE AS I COULD TO 70 KNOTS.  I REPEATED MY FINAL GUMPS PLUS. EVERYTHING CONTINUED UNEVENTFUL EXCEPT WE SEEMED TO FLOAT ""FOREVER"" BEFORE HEARING THUMP, THUMP, THUMP AND HEARING MY PASSENGER SAY WE HAD A FLAT TIRE.  I NEVER HAD THE SENSATION THAT WE HAD TOUCHED DOWN ON THE GEAR.  WE SETTLED ON THE RUNWAY ALMOST EXACTLY ON CENTERLINE AND CAME TO A RAPID BUT UNEVENTFUL STOP.  WE SAT THERE FOR A SECOND OR TWO TRYING TO PROCESS WHAT JUST HAPPENED.  I THEN SWITCHED OFF THE IGNITION AND MASTER SWITCHES AND EVACUATED THE AIRPLANE LEAVING EVERYTHING BEHIND.  I CALLED THE TOWER ON MY CELL PHONE AND ALERTED THEM JUST IN CASE THEY DID NOT SEE WHAT HAPPENED.  THEY ASSURED ME THAT THEY SAW WHAT HAPPENED AND BOTH OF THE ON-DUTY CONTROLLERS VERIFIED MY GEAR HAD BEEN DOWN, ONE WITH BINOCULARS.  THEY SAID THEY WERE SENDING THE FIRE TRUCKS.  NEITHER MY PASSENGER NOR MYSELF WAS INJURED.  EVENTUALLY, CITY FIRE TRUCKS ARRIVED WITH AIR BAGS WHICH WERE USED TO RAISE THE PLANE OFF THE RUNWAY"".  THE AIRCRAFT WAS TOWED AND HANGERED UNEVENTFULLY.",,,,,,,,
20190824023509A,"BASED ON NTX FSO INVESTIGATION, ON 08/24/2019 THE PILOT/CFI WHILE PROVIDING FLIGHT INSTRUCTION FROM ACT-WACO TX TO 3T8-CHINA SPRINGS TX IN AIRCRAFT N173JE EXPERIENCE AN INCIDENT DURING THE LANDING ROLLOUT PHASE WHILE LANDING AT 3T8, RUNWAY 15 (GRASS STRIP).  THE CFI'S STUDENT OVER CONTROLLED THE RUDDER TO THE LEFT MID-ROLLOUT AND VEERED TO THE LEFT SIDE OF THE RUNWAY, BUT QUICKLY CORRECTED TO THE RIGHT. THE CFI TOOK CONTROL OF THE AIRPLANE. THE CFI CONTROLLED THE FINAL ROLLOUT WHILE ROLLING OFF THE RIGHT SIDE OF THE GRASS RUNWAY. THE AIRCRAFT ROLLED APPROXIMATELY 10 FEET WHEN THE MAIN GEAR SANK INTO THE SOFT DIRT. THE AIRCRAFT NOSED OVER AND THEN ONTO THE LEFT WING AND SUBSEQUENTLY FLIPPED UPSIDE DOWN. THE CFI AND STUDENT BOTH EXITED THE AIRCRAFT UNINJURED.  THE PILOT IMMEDIATELY CONTACTED AND PROVIDED PHOTOS OF THE AIRCRAFT TO NTSB INSPECTOR- WHO DEEM THE INCIDENT AS AN ACCIDENT BASE ON THE SUSTAINED DAMAGE/PHOTOGRAPH. NTSB ACCIDENT NUMBER PROVIDED  IS GAA19CA510.",,,,,,,,
20190824023812I,"8/24/2019  1435 PDT. SAN CARLOS, CA. (SQL) ARPT OPS/SCOTT @ 1440PDT N2VV STRUCK WING TIP W/ N828DZ CAUSING MINOR DMG.",,,,,,,,
20190824023832I,"8/24/2019 1435 PDT. SAN CARLOS, CA (SQL) ARPT OPS/ SCOTT @ 1440PDT N2VV STRUCK WING TIP W/ N828DZ CAUSING MINOR DMG",,,,,,,,
20190824023939A,"THE ACCIDENT PILOT AND PASSENGER WERE APPROACHING WENDOVER FIELD AND ACTIVATED THE LANDING GEAR SWITCH AND WATCHED FOR THE CONFIRMATION LIGHT TO COME ON.  THE LIGHT WAS DARK.  THE PILOT ACTIVATED THE LANDING GEAR SWITCH AGAIN AND AGAIN AND THE CONFIRMATION LIGHT DID NOT COME ON.  THE EMERGENCY RELEASE LEVER WAS ACTIVATED FOR THE LANDING GEAR BUT NOTHING HAPPENED.  THE PILOT AND PASSENGER TRIED THE SWITCH AND LANDING GEAR HANDLE OVER AND OVER MANY TIMES, BUT STILL NOTHING HAPPENED.  THE PILOT DECLARED AN EMERGENCY AND A MEDICAL HELICOPTER IN THE AREA REPORTED SEEING THE GEAR ABOUT ONE THIRD OF THE WAY DOWN.  THE PILOT TRIED G-FORCE MANEUVERS UP AND DOWN AND SIDE TO SIDE WITH NO CHANGE TO THE LANDING GEAR.  THE PILOT NOTIFIED THE TOWER THAT THEY HAD TO LAND AND HAD NO OTHER OPTIONS.  THE TOWER DIRECTED THE PILOT TO LAND IN THE DIRT ADJACENT TO THE RUNWAY.  THE AIRCRAFT LANDED, GEAR UP, AND CAME TO REST WITH NO INJURIES TO THE PILOT OR PASSENGER.",,,,,,,,
20190825010209A,"ON AUGUST 25, 2019, N119TG, A C-130A, SERIAL NUMBER 57-0520, MADE AN EMERGENCY LANDING AT SANTA BARBARA AIRPORT (KSBA). INTERNATIONAL AIR RESPONSE, A 14 CFR PART 137 OPERATOR ON A 14 CFR PART 91 FLIGHT, IS THE REGISTERED OWNER OF N119TG. THE AIRCRAFT WAS ISSUED A RESTRICTED CATEGORY CERTIFICATE FOR THE PURPOSES OF OIL SPILL RESPONSE AND AERIAL FIREFIGHT. ",,,,,,,,
"THIS AIRCRAFT WAS ON A FERRY PERMIT ISSUED BY THE SCOTTSDALE FSDO FOR AN OVERDUE ?C? CHECK FROM GUAM TO MESA, AZ WITH ENROUTE STOPS AUTHORIZED. THE CREW COMPLIMENT CONSISTED OF TWO PILOTS, AND A FLIGHT ENGINEER. ADDITIONALLY THERE WERE THREE COMPANY AIRCRAFT MAINTENANCE PERSONNEL AND AN ADDITIONAL FLIGHT ENGINEER RIDING AS PASSENGERS.",,,,,,,,,
"N119TG DEPARTED HILO, HAWAII (KITO) ON AUGUST 25, 2019 FOR SANTA MARIA AIRPORT (KSMX) AND ARRIVED WITHOUT INCIDENT. THE AIRCRAFT UPLOADED FUEL FOR A TOTAL OF 28,000 LBS. EVENLY DISTRIBUTED BETWEEN THE MAIN FUEL TANKS. ",,,,,,,,,
"THE MISHAP AIRCRAFT DEPARTED KSMX DEPARTED IFR TO VFR ON TOP. APPROXIMATELY SEVEN MINUTES AFTER TAKEOFF THE CREW REPORTED A HYDRAULIC SYSTEM FAILURE TO ATC. AFTER THE INITIAL REPORT OF THE HYDRAULIC SYSTEM FAILURE, THE CREW REPORTED MULTIPLE SYSTEM FAILURES ONBOARD THE AIRCRAFT. AT SOME POINT, THE CREW SHUTDOWN NUMBER FOUR ENGINE IN AN EFFORT TO RESOLVE SOME OF THEIR MULTIPLE MALFUNCTIONS.",,,,,,,,,
"SANTA BARBARA AIRPORT (KSBA WAS REPORTING VFR, SO THE CREW ELECTED TO MAKE AN EMERGENCY LANDING THERE. THE PIC STATED HE WOULD HAVE TO MAKE A ?NO FLAP LANDING? AT HIGHER TOUCHDOWN SPEEDS THAN NORMAL WITHOUT OPERABLE BRAKES DUE TO THE LOSS OF THE UTILITY HYDRAULIC SYSTEM. THE PIC STATED THAT HE HAD ?THREE DOWN AND GREEN?, INDICATING THE LANDING GEAR WAS DOWN AND LOCKED. HOWEVER, POST-CRASH INSPECTION OF THE AIRCRAFT SHOWS THE LEFT MAIN LANDING GEAR AND THE NOSE LANDING GEAR WERE DOWN AND LOCKED, HOWEVER THE RIGHT MAIN LANDING GEAR REMAINED UP AND LOCKED.",,,,,,,,,
"AT APPROXIMATELY 10:23 LOCAL TIME, THE AIRCRAFT TOUCHED DOWN ON RUNWAY 7 ON THE LEFT MAIN LANDING GEAR FOLLOWED BY THE NOSE LANDING GEAR, THEN THE RIGHT MAIN LANDING GEAR WHEEL WELL. THE RIGHT HAND EXTERNAL TANK CONTACTED THE GROUND ALONG WITH THE RIGHT WING TIP. AS THE AIRCRAFT VEERED TO THE RIGHT, IT STRUCK SEVERAL RUNWAY SIGNS AND LIGHTS. THE RIGHT EXTERNAL FUEL TANK SEPARATED FROM THE AIRCRAFT AND STARTED A SMALL GRASS FIRE ON THE SOUTH SIDE OF RUNWAY 25/07. THE AIRCRAFT CAME TO REST IN THE INFIELD GRASS EAST OF RUNWAY 33R, SOUTH OF RUNWAY 25/07 BETWEEN TAXIWAYS ALPHA, BRAVO, AND KILO. THE NUMBER FOUR FUEL TANK SUSTAINED A PUNCTURE AND SPILLED APPROXIMATELY 6500 LBS. OF FUEL.",,,,,,,,,
ALL SEVEN PERSONS SUCCESSFULLY EGRESSED THE AIRCRAFT.,,,,,,,,,
INITIAL ASSESSMENT REVEALED THAT THE AIRCRAFT SUSTAINED A FAILURE OF THE MAIN BLEED AIR DUCT NEAR THE RIGHT WING FUSELAGE FAIRING CAUSING HOT BLEED AIR TO BURN THROUGH A UTILITY SYSTEM HYDRAULIC LINE AND NUMEROUS WIRING BUNDLES.,,,,,,,,,
20190825011919A,N632MM DEPARTED L70 FOR FLIGHT TO WJF. AT 5500 FEET ABOVE THE SIERRA PALOMA MOUNTAINS A DESCENT WAS STARTED TO WJF. THEN ENGINE WENT TO LOW POWER AND WAS UNRESPONSIVE. THE PILOT SELECTED OPPOSITE FUEL TANK AND VERIFIED THE FUEL SELECTOR WAS ON. THE PILOT PERFORMED A GEAR UP LANDING IN AN EMPTY FIELD. THE TOUCH DOWN WAS UNEVENTFUL BUT THE SLIDE WAS ROUGH AND BUMPY. THE PILOT AND PASSENGER EXITED THE AIRCRAFT WITH NO INJURIES. THE AIRCRAFT HAD FULL FUEL BEFORE THE FLIGHT.,,,,,,,,
20190825011929A,GLIDER HIT TREES ON APPROCH TO PRIVATE STRIP. PILOT LOST CONTROL OF THE AIRCRAFT AND LANDED HARD.,,,,,,,,
20190825014789A,"ON AUGUST 25, 2019, AT APPROXIMATELY 1730 EASTERN DAYLIGHT TIME, A 1945 PIPER J3C-65 AIRCRAFT, N49614, SUSTAINED SUBSTANTIAL DAMAGE FOLLOWING A COLLISION WITH A FENCE WHILE PERFORMING AN EMERGENCY LANDING IN A PLOWED FIELD LOCATED NEAR RUSSIAVILLE, INDIANA.",,,,,,,,
,,,,,,,,,
THE PRIVATE PILOT AND ONE PASSENGER WERE NOT INJURED. THE AIRCRAFT IS REGISTERED TO THE PILOT AND OPERATED UNDER THE PROVISIONS OF 14 CODE OF FEDERAL REGULATIONS PART 91 AS A PERSONAL FLIGHT.  VISUAL METEOROLOGICAL CONDITIONS PREVAILED AND NO FLIGHT PLAN WAS FILED OR REQUIRED.,,,,,,,,,
,,,,,,,,,
