c5,c1,c2,c3,c4,c6,c7,c8,c9,c10,c75,c132,c134,c136,c138,c139,c140,c141,c144,c145,c147,c149,c151,c152,c153,c155,c157,c160,c162,c203,c204,c214,c233,c234,c790,c22,c23,c24,c25,c26,c27,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c102,c104,c106,c108,c110,c112,c113,c114,c115,c117,c118,c143,c240,c241,c242,c243,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c76,c250,c205,c206,c207,c208,c210,c41,c43,c45,c47,c49,c50,c52,c53,c54,c55,c56,c57,c58,c59,c119,c120,c121,c122,c126,c127,c128,c129,c130,c78,c80,c82,c84,c86,c88,c90,c92,c94,c96,c98,c100,c111,c123,c124,c125,c184,c192,c244,c40,c44,c46,c48,c51,c77,c79,c81,c83,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c156,c158,c161,c163,c183,c191,c229,c230,end_of_record,
20190714011679A,A,141,   , ,2019,7,14,20190714,920,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,TR,  ,  ,222361,1167, , , , ,35585,CESSNA,172S        ,      ,        ,  ,STRD,7397,* ,  ,      ,             ,      ,        ,  ,     ,SO,SO15,FL,ELKTON         ,,,,,,29 47N,08128W,,,,,,,,,,,,,,,,,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20191231,,,,20191231,,N,,,,,,300,,146,1030,,,,THE FLIGHT INSTRUCTOR WAS GIVING DUAL INSTRUCTION FOR A COMMERCIAL PILOT TO GET HIS FLIGHT INSTRUCTOR RATING. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190830011569A,A,91,   , ,2019,8,30,20190830,1330,9, , , , , , ,   ,    , , , ,,    , , ,FL,  ,  ,222350,1156, , , , ,1124,PIPER ,PA-18-135   ,      ,        ,  ,EXPT,1742,* ,  ,LYCOMI,0-320 SERIES ,A1A   ,        ,  ,     ,AL,AL01,AK,FAIRBANKS      ,,,,,,64 53N,14822W,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20191231,,,,20191231,,N,,,,,,,,,,,,,THE PILOT WAS MANEUVERING THE PA-18 OVER THE MINTO FLATS.  THE PILOT SAID THE ENGINE JUST DID NOT SOUND RIGHT BUT T,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,85, , , ,  , , , ,  ,MN,S, ,   , , , , , , ,                    ,                    ,                    ,                    ,                    ,8530,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Maneuver            ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Float Installation            ,                    ,                    ,                    ,                    ,,, ,
20190827011669A,A,91,   , ,2019,8,27,20190827,1500,9, , , , , , ,   ,    , , , ,,    , , ,SD,  ,  ,222360,1166, , , , ,6064H,BELL  ,47G-4A      ,      ,        ,  ,STRD,,* ,  ,      ,             ,      ,        ,  ,     ,WP,WP19,NV,NORTH LAS VEGAS,NORTH LAS VEGAS               ,,KVGT,,,,,,,,,,,,,,,,KVGT,,,,,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,20191231,,,,20200302,1,N,,,,,,14,,2,235,,,,"ON AUGUST 27, 2019, AT APPROXIMATELY 1500 PST, N6064H, A BELL 47G-4A HELICOPTER, IMPACTED TERRAIN SHORTLY AFTER COM",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,HR,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Hover/Holding       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Skids                         ,                    ,                    ,                    ,                    ,19580309,19780630, ,
20190827011689I,I,91,   , ,2019,8,27,20190827,1935,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,222362,1168, , , , ,8532P,PIPER ,PA-24-400   ,      ,        ,  ,STRD,,* ,  ,LYCOMI,IO-720       ,      ,        ,  ,     ,SO,SO11,GA,TIFTON         ,HENRY TIFT MYERS              ,,TMA ,,,31 25N,83 29W,,,,,,,,,,,,TMA ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20191231,,,,20191231,1,N,,,,,,,,,1000,,,,"ON TUESDAY 8/27/2019, ^PRIVACY DATA OMITTED^ WAS FLYING HIS PIPER PA-24, N8532P, FROM STEINHATCHEE, FL TO TIFTON, G",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LT,M, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19520116,, ,
20190827011709A,A,O  ,   , ,2019,8,27,20190827,1600,9, , , , , , ,   ,    , , , ,,    , , ,SD,  ,  ,222364,1170, , , , ,NONE ,      ,            ,      ,        ,  ,    ,,,  ,      ,             ,      ,        ,  ,     ,GL,GL13,WI,BROOKFIELD     ,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20191231,,,20200102,20200211,,N,,,,,,,,,,,,,"ON AUGUST 27, 2019 AT APPROXIMATELY 1600 HOURS A SMALL UAS HAD A FAILURE DURING FLIGHT AND CRASHED STRIKING TWO PAR",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,HR,M, ,   , , , , , , ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Hover/Holding       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Skids                         ,                    ,                    ,                    ,                    ,,, ,
20190829011639A,A,91,   , ,2019,8,29,20190829,1100,9, , , , , , ,   ,    , , , ,,    , , ,CV,  ,  ,222357,1163, , , , ,8517Q,AIR TR,AT-502      ,      ,        ,  ,REST,1,* ,  ,P & W ,PT6A         ,140AG ,        ,  ,     ,SW,SW13,TX,OLNEY          ,,,ONY ,,,,,,,,,,,,,,,,ONY ,,,,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,20191231,,,,20191231,3,N,,,,,,,,,1100,,,,"ON AUGUST 29, 2019, AT APPROXIMATELY 1100 CENTRAL DAYLIGHT TIME, N8517Q, AN AIR TRACTOR AT-502A COLLIDED WITH TERRA",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TC,S, ,   , , , , , , ,COMMERCIAL PILOT    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Climb Out  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,19910625,, ,
20190829011649A,A,91,   , ,2019,8,29,20190829,1751,9, , , , , , ,   ,    , , , ,,    , , ,CV,  ,  ,222358,1164, , , , ,7236D,PIPER ,PA-22-150   ,      ,        ,  ,STRD,3837,* ,  ,LYCOMI,0-320 SERIES ,      ,        ,  ,     ,AL,AL03,AK,TALKEETNA      ,TALKEETNA                     ,19,PATK,,,62 19N,15005W,,,,,,,,,,DRY,,PATK,,,,,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20191231,,,,20191231,F1,N,,,,,,300,,200,1050,,,,ON 08-29-2019 AT 1751 LOCAL TIME A PIPER PA-22 PILOTED BY MAVERICK BRADY AND STUDENT ROGER DITCHER WHILE DRAGGING A,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LR,S, ,   , , , , , , ,PRIVATE PILOT FLT IN,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Rollout    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,19960209,19610209, ,
20190829011659I,I,91,   , ,2019,8,29,20190829,1350,9, , , , , , ,   ,    , , , ,,    , , ,CV,  ,  ,222359,1165, , , , ,700TS,NORTH ,AT-6D       ,      ,        ,  ,STRD,,* ,  ,P & W ,R-1340-AN-1  ,      ,        ,  ,     ,SO,SO15,FL,ST AUGUSTINE   ,NORTHEAST FLORIDA REGIONAL    ,31,KSGJ,,,29 57N,08120W,,,,,,,,,,DRY,,KSGJ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20191231,,,,20191231,9,N,,,,,,65,,150,6000,,,,"ON A LOCAL VFR FLIGHT FROM KFIN TO KSGJ, LANDING ON RUNWAY 31 OF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190829011699A,A,91,   , ,2019,8,29,20190829,1558,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,222363,1169, , , , ,9529Y,BEECH ,35-B33      ,      ,        ,  ,STRD,6576,* ,  ,CONT M,I0-470 SERIES,      ,        ,  ,     ,NM,NM05,MT,ST. IGNATIUS   ,ST IGNATIUS AIRPORT           ,,5S2 ,,,47 16N,11407W,,,,,,,,,,,,5S2 ,,,,,3,2,2,0,1,1,0,0,0,0,0,0,0,0,3,0,20191231,,,20191231,20191231,1,N,,,,,,,,,,,,,"ON AUGUST 29, 2019, ABOUT 1558 MOUNTAIN DAYLIGHT TIME, A BEECH BE-35 AIRPLANE, N9529Y, IMPACTED TERRAIN ON A PRIVAT",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,MN,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Maneuver            ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19700424,, ,
20190830011579A,A,91,   , ,2019,8,30,20190830,837,9, , , , , , ,   ,    , , , ,,    , , ,CV,  ,  ,222351,1157, , , , ,87TJ ,HALL K,KITFOX 532  ,      ,        ,  ,EXPT,,* ,  ,JABIRU,2200,      ,        ,  ,     ,NM,NM11,ID,NAMPA          ,NAMPA MUNI                    ,,MAN ,,,43 34N,11631W,,,,,,,,,,,,MAN ,,,,,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,20191231,,,,20191231,1,N,,,,,,25,,10,2203,,,,"ON AUGUST 30, 2019, AT APPROXIMATELY 0837 HOURS LOCAL, AN EXPERIMENTAL AMATEUR BUILT KENNETH J HALL KITFOX MODEL 53",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,32, , , ,  , , , ,  ,LR,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,3200,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Rollout    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,19440802,, ,
20190830011589I,I,91,   , ,2019,8,30,20190830,1043,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,TR,  ,  ,222352,1158, , , , ,2540U,CESSNA,172D        ,      ,        ,  ,STRD,4608,* ,  ,CONT M,0-300 SER    ,      ,        ,  ,     ,SW,SW19,TX,SHERMAN        ,SHERMAN-DENISON               ,,KGYI,,,,,,,,,,,,,,,,KGYI,,,,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20191231,,,,20191231,F1,N,,,,,,288,,5,2148,,,,"ON AUGUST 30, 2019 AT 1043 CDT, A CESSNA 172D, N2540U, S/N 17250140, OWNED BY EN VOLANT INVESTMENTS LLC, 8088 PARK ",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LA,M, ,   , , , , , , ,PRIVATE PILOT FLT IN,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Approach   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19871014,, ,
